,COUNTRY,BUSINESS_LINE,INDUSTRY_CLUSTER,SUPPLIER_NAME,COMPOSITIONS,APPLICATIONS,FUNCTIONS,PRODUCT_NAME,CAS_FROM_DOC,PHYSICAL_FORM,PRODUCT_DESCRIPTION,RECOMMENDED_DOSAGE,REGULATORY_REQUIREMENTS,CERTIFICATIONS,FILE_NAME,COMPANY_CD,CLAIMS,PDP_VDO,LIGHT_VERSION,RECOMMENDED_HEALTH_BENEFITS,SUSTAINABLE_DOC
0,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,"['Vegetal', 'Derived Natural']","['Skin Care', 'Hair Care']","['Rheology Modifier', 'Film Former', 'Emulsifier', 'Conditioner']",Polycos A-2500 HV,N/A,Powder,"Polycos A-2500 HV by polygal ag is a versatile, bio-based, non-ionic polymer designed for personal care formulations. This transparent rheology modifier enhances texture and stability in skin and hair care products, functioning as a film former, emulsion stabilizer, and conditioning agent. It exhibits excellent electrolyte tolerance and maintains stability across a broad pH range, making it ideal for diverse formulations including hydroalcoholic systems with up to 80% ethanol or 60% isopropanol. The product is a fine off-white powder that dissolves easily in ambient water and polar solvents like glycerin and glycols. Recommended usage levels range from 0.2% to 5.0%. Polycos A-2500 HV offers high clarity in solution and reliable microbiological quality, ensuring safety and performance. Packaged in 25kg multiwall polytreated paper bags, it has a shelf life of at least 24 months when stored in cool, dry conditions. This polymer complies with EU and Swiss additive regulations, supporting safe and effective cosmetic product development.",0.2 - 5.0 %,(MANUAL_INPUT),['REACH'],TDS Polycos A-2500 HV V4.11.pdf,AAAA,"['Film Forming', 'Conditioning']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
1,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,"['Derived Natural', 'Vegetal']","['Hair Care', 'Skin Care', 'Soap & Bath']","['Conditioner', 'Styling Polymer', 'Active']",Polycos CA-50 ECO,N/A,Powder,"Polycos CA-50 ECO by polygal ag is a biodegradable, conditioning, and styling polymer derived from natural guar gum. This light-yellow fine powder is vegan, COSMOS compliant, and produced using a water-saving process technology, making it an eco-friendly choice for personal care formulations. It is cold-processable and easily dispersible in water, with optimal hydration at a pH between 6.0 and 7.0. Polycos CA-50 ECO enhances foam volume and improves the delivery of active ingredients, making it ideal for shampoos, conditioners, shower gels, liquid soaps, mousses, gels, and creams. It provides excellent conditioning and styling benefits, elevating the performance of leave-on treatments and styling products. The product meets strict microbiological standards and is certified Cosmos, Halal, Kosher, and Vegan. Packaged in 25kg multiwall polytreated paper bags, it has a shelf life of at least 24 months when stored in dry, cool conditions.","0.15 - 0.50% for shampoos and conditioners (solid/liquid); 0.20 - 1.00% for shower gels and liquid soaps; 0.30 - 2.00% for mousse, gels, and creams",(MANUAL_INPUT),"['COSMOS Standard', 'HALAL', 'Kosher', 'Vegan']",TDS Polycos CA-50 ECO V4.11.pdf,AAAA,"['Conditioning', 'COSMOS Standard', 'Vegan']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
2,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,"['Derived Natural', 'Vegetal']","['Hair Care', 'Skin Care', 'Soap & Bath']","['Conditioner', 'Rheology Modifier', 'Skin Sensory Additive']",Polycos CA-3000 ECO,N/A,Powder,"Polycos CA-3000 ECO by polygal ag is a high-quality conditioning polymer derived from natural guar gum, designed specifically for personal care formulations. This vegan and COSMOS-compliant product is manufactured using an eco-friendly, water-saving process. It offers excellent substantivity to hair, significantly improving both wet and dry combability while enhancing foam-boosting properties. Polycos CA-3000 ECO imparts a silky, smooth feel to hair without any buildup and provides a soft, pleasant skin sensation. Its light-yellow fine powder form is cold-processable and easily dispersible in water, requiring no pH adjustment for hydration. Ideal for use in shower gels, body washes, liquid soaps, soap bars, shampoos, and conditioners, it is effective at low use levels of 0.1 to 1.0%. The product is microbiologically safe, with strict quality controls, and is available in 25 kg multiwall polytreated paper bags. It complies with EU and Swiss additive regulations and holds Cosmos, Halal, Kosher, and Vegan (in processing) certifications.",Use level 0.1 - 1.0 %,(MANUAL_INPUT),"['COSMOS Standard', 'HALAL', 'Kosher', 'Vegan']",TDS Polycos CA-3000 ECO V1.11.pdf,AAAA,"['Conditioning', 'COSMOS Standard', 'Vegan']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
3,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,"['Derived Natural', 'Vegetal']","['Hair Care', 'Skin Care', 'Soap & Bath']","['Conditioner', 'Rheology Modifier', 'Skin Sensory Additive']",Polycos CA-3001 ECO,N/A,Powder,"Polycos CA-3001 ECO by polygal ag is a high-quality conditioning polymer derived from natural guar gum, designed specifically for personal care formulations. This vegan and COSMOS-compliant ingredient is produced using an innovative water-saving process, making it an eco-friendly choice. It offers excellent substantivity to hair, significantly improving wet and dry combability while enhancing foam-boosting properties. The polymer imparts a silky, smooth feel to hair without causing buildup and provides a soft, pleasant skin feel. Polycos CA-3001 ECO is cold processable and easily dispersible in water, requiring a pH adjustment between 6.0 and 7.0 for optimal hydration. It is ideal for use in shower gels, body washes, liquid soaps, soap bars, shampoos, conditioners, and other personal care products. Packaged in 25kg multiwall polytreated paper bags, it has a shelf life of at least 24 months under proper storage conditions. Certified Cosmos, Halal, Kosher, and Vegan, it complies with EU and Swiss additive regulations.",0.1 - 1.0 % use level,(MANUAL_INPUT),"['COSMOS Standard', 'HALAL', 'Kosher', 'Vegan']",TDS Polycos CA-3001 ECO V3.11.pdf,AAAA,"['Conditioning', 'COSMOS Standard', 'Vegan']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
4,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,"['Derived Natural', 'Vegetal']","['Hair Care', 'Soap & Bath']",['Conditioner'],Polycos CA-3002 ECO,N/A,Powder,"Polycos CA-3002 ECO by polygal ag is a high-performance conditioning polymer derived from natural guar gum, boasting a high cationic charge. This vegan and COSMOS-compliant ingredient is produced using an eco-friendly, water-saving process technology. It offers excellent substantivity to hair, significantly improving both wet and dry combability while enhancing foam-boosting properties. The product imparts a silky, smooth feel to hair without causing buildup and provides a soft, pleasant skin sensation. Polycos CA-3002 ECO is a light-yellow fine powder, cold processable, and easily dispersible in water with a recommended pH range of 6.0 to 7.0 for optimal hydration. It is ideal for use in a wide range of personal care formulations, including shower gels, body washes, liquid soaps, soap bars, shampoos, and conditioners. Packaged in 25kg multiwall polytreated paper bags, it has a shelf life of at least 24 months under proper storage conditions. Certified Cosmos, Halal, Kosher, and Vegan, it complies with EU and Swiss additive regulations.",Use level 0.1 - 1.0 %,(MANUAL_INPUT),"['COSMOS Standard', 'HALAL', 'Kosher', 'Vegan']",TDS Polycos CA-3002 ECO V3.11.pdf,AAAA,"['Conditioning', 'COSMOS Standard', 'Vegan']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
5,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,"['Derived Natural', 'Vegetal']","['Hair Care', 'Skin Care', 'Soap & Bath']",['Conditioner'],Polycos CAT-1000,N/A,Powder,"Polycos CAT-1000 by polygal ag is a naturally derived conditioning polymer designed for personal care formulations. Composed of cationic guar gum (Guar Hydroxypropyltrimonium Chloride), it appears as an off-white fine powder that becomes transparent in solution. This versatile polymer enhances wet combability and provides effective wet and dry conditioning, making it ideal for a wide range of hair and body care products. It is compatible with silicone, silicone-free, and sulphate-free shampoos and body washes. Polycos CAT-1000 is cold processable in ambient water and recommended for use at 0.1-1.0% concentration. The product ensures high clarity across various surfactant systems and maintains quality with a pH range of 9.0 to 11.0 and viscosity between 300 to 1000 mPas (1% solution). Packaged in 25kg multiwall polytreated paper bags, it has a shelf life of at least 24 months under dry, cool conditions. Certified Cosmos, Halal, Kosher, and Vegan (in processing), it complies with EU and Swiss additive regulations.",Use level 0.1-1.0 %,(MANUAL_INPUT),"['COSMOS Standard', 'HALAL', 'Kosher', 'Vegan']",TDS Polycos CAT-1000 V5.11.pdf,AAAA,['Conditioning'],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
6,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,"['Derived Natural', 'Vegetal']","['Skin Care', 'Hair Care', 'Sun Care', 'Soap & Bath']","['Rheology Modifier', 'Texturizer', 'Stabilizer', 'Film Former', 'Skin Sensory Additive']",Polycos ECOGUM Sense,N/A,Powder,"Polycos ECOGUM Sense by polygal ag is a 100% natural, non-ionic, biodegradable biopolymer derived from carefully selected carob tree kernels. This high-quality locust bean gum offers exceptional thickening, texturizing, stabilizing, and film-forming properties, making it ideal for a wide range of surfactant-free personal care formulations. It provides a luxurious sensory experience with a light, elegant moisturizing texture and outstanding lubricity. The product appears as an off-white fine powder with characteristic odor and is hot processable in water, used at levels between 0.5% and 3.0%. Polycos ECOGUM Sense complies with EU and Swiss additive regulations and holds certifications including Cosmos, Halal, Kosher, and is vegan (in processing). It is packed in 25 kg polytreated paper bags and has a shelf life of at least 24 months when stored in dry, cool, and ventilated conditions. Customers are advised to take precautions against tobacco beetles, a known threat to locust bean gum.",Use level 0.5 - 3.0%,(MANUAL_INPUT),"['COSMOS Standard', 'HALAL', 'Kosher', 'Vegan']",TDS Polycos ECOGUM Sense V1. 11.pdf,AAAA,"['Film Forming', 'Moisturizing', 'Texturizer', 'Natural Cosmetic', 'Vegan', 'COSMOS Standard']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
7,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,"['Vegetal', 'Derived Natural']","['Hair Care', 'Skin Care', 'Soap & Bath']","['Rheology Modifier', 'Texturizer', 'Film Former', 'Conditioner', 'Stabilizer']",Polycos ECOGUM,N/A,Powder,"Polycos ECOGUM by polygal ag is a 100% natural, non-ionic, and biodegradable biopolymer derived from guar gum. This premium-grade thickening and texturizing agent offers a smooth, honey-like flow and excellent compatibility with a wide range of surfactant systems. Ideal for both leave-on and rinse-off personal care formulations, it enhances product texture, stabilizes lather, and improves conditioning properties. Polycos ECOGUM also functions as an effective natural film former, contributing to the overall sensory experience of cosmetic products. It is cold-processable in water and typically used at concentrations between 0.1% and 2.0%. The product is supplied as an off-white to light beige fine powder with a characteristic odor and meets stringent microbiological standards. Packaged in 25 kg multiwall polytreated paper bags, it has a shelf life of at least 24 months when stored in dry, cool conditions. Certified Cosmos, Halal, Kosher, and Vegan (in processing), Polycos ECOGUM complies with EU and Swiss additive regulations, making it a versatile and sustainable choice for personal care formulations.",0.1 - 2.0 %,(MANUAL_INPUT),"['COSMOS Standard', 'HALAL', 'Kosher', 'Vegan']",TDS Polycos ECOGUM V1.11.pdf,AAAA,"['Film Forming', 'Conditioning', 'Texturizer', 'Natural Cosmetic', 'Vegan', 'COSMOS Standard']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
8,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,"['Derived Natural', 'Vegetal']","['Hair Care', 'Skin Care', 'Soap & Bath']","['Conditioner', 'Rheology Modifier']",Polycos HCA-501,N/A,Powder,"Polycos HCA-501 by polygal ag is a naturally derived conditioning polymer designed for personal care formulations. It offers exceptional clarity across a wide range of surfactant systems, making it ideal for clear and transparent products such as shampoos, conditioners, body washes, shower gels, and liquid soaps. This off-white fine powder, which becomes transparent in solution, imparts excellent conditioning to hair without causing build-up, while also providing a soft, soothing after-feel on the skin. Polycos HCA-501 is cold processable in ambient water and recommended for use at levels between 0.1% and 1.0%. It complies with EU and Swiss additive regulations and is microbiologically safe with low total plate count and mold limits. Packaged in 25kg multiwall polytreated paper bags, it has a shelf life of at least 24 months when stored in dry, cool, and ventilated conditions. This versatile polymer enhances both hair and skin care products with superior conditioning and clarity.",Use level 0.1 - 1.0 %,(MANUAL_INPUT),['REACH'],TDS Polycos HCA-501 V6.11.pdf,AAAA,"['Conditioning', 'Moisturizing', 'Soothing']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
9,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,['Vegetal'],"['Skin Care', 'Hair Care', 'Soap & Bath']","['Anti-Deposition', 'Rheology Modifier']",Polycos RS,9005-25-8,Powder,"Polycos RS by polygal ag is a high-quality, cost-effective rice starch designed for personal care applications. Derived from physically modified Oryza Sativa (rice) starch, it appears as a white fine powder with a characteristic odor. This versatile ingredient excels in oil absorption and is ideal for thickening and stabilizing emulsions, enhancing product texture and performance. Polycos RS is dispersible in cold water and soluble in hot water (90°C), with a recommended usage level of 1.0 to 5.0%. It meets stringent quality standards, including low ash content (max 0.5%) and controlled microbiological values, ensuring safety and reliability. Packaged in 20kg multiwall polytreated paper bags, it offers a shelf life of at least 60 months under dry, cool, and ventilated storage conditions. Certified Cosmos, Halal, Kosher, and in the process of Vegan certification, Polycos RS complies with EU and Swiss additive regulations, making it a trusted choice for formulators seeking natural, effective starch solutions.",Use level 1.0 - 5.0 %,(MANUAL_INPUT),"['COSMOS Standard', 'HALAL', 'Kosher', 'Vegan']",TDS Polycos RS_V1.11.pdf,AAAA,"['COSMOS Standard', 'Vegan']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
